% Model:              fourpoints.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 25 2022, 15:58
% Dimension:          3
% Nodes:              11057
% Expressions:        1
% Description:        Multislice
% x                       y                        z                        Electric potential
3.447715250169204E-4      -7.552284749830793E-4    0                        1
2.700181684736646E-4      -9.114064611710777E-4    1.3552527156068805E-20   0.6705527965556829
2.2471664762249415E-4     -8.29552500386547E-4     -1.3552527156068805E-20  0.6600050908915016
4.4477152501692035E-4     -8.552284749830794E-4    0                        0.9999999999999999
3.984260798663446E-4      -9.87451851499269E-4     2.710505431213761E-20    0.6864737726784825
3.194738030827865E-4      -9.395824273245647E-4    1.3552527156068805E-20   0.6759565781636336
2.2229967962800185E-4     -0.0010107371672331315   -6.776263578034403E-21   0.5422117397433024
1.9500381593692782E-4     -0.0010676835651043685   0                        0.46198117359119717
1.7196147828163109E-4     -0.0010426729294785637   0                        0.45426164330842167
1.5855634841184835E-4     -9.431903665434768E-4    0                        0.52317301935803
1.9683293017412861E-4     -7.801144529964607E-4    1.3552527156068805E-20   0.6546214759955093
9.340779155389911E-5      -9.603334787796335E-4    -6.776263578034403E-21   0.4300286558085136
1.3149290172938672E-4     -8.939062870551235E-4    0                        0.5170716850944014
7.605412909709616E-5      -0.0011093614590928125   -1.3552527156068805E-20  0.3803548511364042
3.308893003474432E-5      -0.0010652800786545543   -6.776263578034403E-21   0.3668475643826068
2.69157711119245E-4       -0.0010393587229773499   6.776263578034403E-21    0.5482575857764951
2.999999999999998E-4      -5.999999999999998E-4    0                        1
5.999999999999998E-4      -9.000000000000003E-4    0                        1
-1.0276430701503316E-5    -0.0011406574885760373   -2.710505431213761E-20   0.32042027583306965
-9.999999999999992E-5     -5.999999999999998E-4    0                        0.27356163878792683
-3.26293223301339E-6      -7.801064742815303E-4    -1.3552527156068805E-20  0.38762678174432796
-1.2588391629374146E-4    -7.801064742815301E-4    1.3552527156068805E-20   0.2552274481809081
9.999999999999994E-5      -5.999999999999997E-4    0                        0.6068949721212602
7.413025321940024E-5      -7.801144529964609E-4    4.0657581468206416E-20   0.48546320034460233
5.775321820124654E-5      -8.939062870551235E-4    0                        0.41541393791040154
4.820481723844921E-5      -9.603334787796335E-4    -6.776263578034403E-21   0.39424232834227413
-6.877666198957421E-5     -8.940898187393924E-4    0                        0.329609227132
-2.0335899748192334E-4    -7.800984786838956E-4    1.3552527156068805E-20   0.18042224576422422
-1.0678445761412625E-4    -9.603176111020525E-4    0                        0.2891914821780961
-1.4229823331671356E-4    -8.940898187393923E-4    0                        0.2502247145967897
-5.0713003038077826E-5    -0.0010650657845904916   6.776263578034403E-21    0.31008070756503003
-2.999999999999998E-4     -6.0E-4                  0                        0
-3.4477152501692046E-4    -7.552284749830793E-4    0                        0
-2.4633879815547365E-4    -8.544698820637377E-4    -4.0657581468206416E-20  0.1627569429929938
-2.74244628830263E-4      -9.036690966418204E-4    -2.710505431213761E-20   0.15085340154860255
-4.447715250169205E-4     -8.552284749830794E-4    0                        0
-3.514522880690622E-4     -9.442050546250836E-4    -1.3552527156068805E-20  0.13313077225941178
-4.003475500449705E-4     -9.719816224957884E-4    -1.3552527156068805E-20  0.12129403926532101
-2.3010104555481326E-4    -9.967924390260343E-4    0                        0.20149476956382645
-1.2833848621314768E-4    -9.799747422257893E-4    -6.776263578034403E-21   0.27614602566619123
-2.0378432932686492E-4    -0.0010522310342288863   6.776263578034403E-21    0.23002261987523842
-1.6835868278321106E-4    -9.384173633563092E-4    0                        0.23935740561474902
-2.772463279770835E-4     -0.0010211285711708815   0                        0.1905277975612619
-9.090348973148008E-5     -0.0011045587928887606   -1.3552527156068805E-20  0.28542552780915975
-6.000000000000001E-4     -9.000000000000003E-4    0                        0
-1.6415533858078467E-4    -0.0011884056432600151   -6.776263578034403E-21   0.23741675952778046
-2.578076979541116E-4     -0.0012956036933658164   -3.3881317890172014E-21  0.21196893477778392
-2.9016769726515195E-4    -0.001332852535576965    1.3552527156068805E-20   0.19574588007287977
-2.512369452958835E-4     -0.001388383284141941    1.0164395367051604E-20   0.21080354916051106
-2.445997773520262E-4     -0.001482100664444239    0                        0.2038406415864666
-2.760689742166062E-4     -0.00137786985847489     2.371692252312041E-20    0.20453806754965725
-8.179516687259209E-5     -0.0014642464902367984   1.3552527156068805E-20   0.2489075135929971
-2.702131320908997E-5     -0.0012164202900969495   -6.776263578034403E-21   0.3060581109931959
-3.1596115323259655E-4    -0.001362542782544423    -3.3881317890172014E-21  0.19249590553036167
-4.4079233084622186E-4    -0.0011534023195645278   6.776263578034403E-21    0.1329475636155456
-2.8416159808666933E-4    -0.0014143267370572252   -2.0328790734103208E-20  0.2040891407051344
-1.3006704915438321E-4    -0.0016826542954094666   0                        0.21568765199177004
-6.896161674141588E-4     -0.0015054353534337524   -6.776263578034403E-21   0.16049615129453004
-7.213211323247575E-4     -0.0017317094964522167   1.6940658945086007E-21   0.15903230561242804
-7.723945962911131E-4     -0.0017515670651719038   1.8634724839594607E-20   0.1530782588256935
