,0,1,2,3
0,3.447715250169204E-4,-7.552284749830793E-4,0,1
1,2.700181684736646E-4,-9.114064611710777E-4,1.3552527156068805E-20,0.6705527965556829
2,2.2471664762249415E-4,-8.29552500386547E-4,-1.3552527156068805E-20,0.6600050908915016
3,4.4477152501692035E-4,-8.552284749830794E-4,0,0.9999999999999999
4,3.984260798663446E-4,-9.87451851499269E-4,2.710505431213761E-20,0.6864737726784825
5,3.194738030827865E-4,-9.395824273245647E-4,1.3552527156068805E-20,0.6759565781636336
6,2.2229967962800185E-4,-0.0010107371672331315,-6.776263578034403E-21,0.5422117397433024
7,1.9500381593692782E-4,-0.0010676835651043685,0,0.46198117359119717
8,1.7196147828163109E-4,-0.0010426729294785637,0,0.45426164330842167
9,1.5855634841184835E-4,-9.431903665434768E-4,0,0.52317301935803
10,1.9683293017412861E-4,-7.801144529964607E-4,1.3552527156068805E-20,0.6546214759955093
11,9.340779155389911E-5,-9.603334787796335E-4,-6.776263578034403E-21,0.4300286558085136
12,1.3149290172938672E-4,-8.939062870551235E-4,0,0.5170716850944014
13,7.605412909709616E-5,-0.0011093614590928125,-1.3552527156068805E-20,0.3803548511364042
14,3.308893003474432E-5,-0.0010652800786545543,-6.776263578034403E-21,0.3668475643826068
15,2.69157711119245E-4,-0.0010393587229773499,6.776263578034403E-21,0.5482575857764951
16,2.999999999999998E-4,-5.999999999999998E-4,0,1
17,5.999999999999998E-4,-9.000000000000003E-4,0,1
18,-1.0276430701503316E-5,-0.0011406574885760373,-2.710505431213761E-20,0.32042027583306965
19,-9.999999999999992E-5,-5.999999999999998E-4,0,0.27356163878792683
20,-3.26293223301339E-6,-7.801064742815303E-4,-1.3552527156068805E-20,0.38762678174432796
21,-1.2588391629374146E-4,-7.801064742815301E-4,1.3552527156068805E-20,0.2552274481809081
22,9.999999999999994E-5,-5.999999999999997E-4,0,0.6068949721212602
23,7.413025321940024E-5,-7.801144529964609E-4,4.0657581468206416E-20,0.48546320034460233
